username, created_at, lng, lat, text
EvanWWood, Fri Jan 22 23:53:37 +0000 2021, -82.096405, 39.320384, Don’t worry everyone, Athens is just reenacting the times of 1804. 
ShoemakerMicah, Fri Jan 22 23:53:37 +0000 2021, -97.754724, 30.323346, @atxwxgirl If you don’t appreciate the medio litro I don’t understand you 
mlebischak, Fri Jan 22 23:53:37 +0000 2021, -95.446486, 29.838495, I don't know how to take this. 
akadumbbitch, Fri Jan 22 23:53:38 +0000 2021, -111.858398, 33.639340, @phoenixnewtimes @theWaltBlackman i’ll just kill myself, your move walt 
CanoJairzhino, Fri Jan 22 23:53:38 +0000 2021, -122.419000, 37.779300, This is joe my next 3 weeks gonna look like#noselfiecontrol#Restingmood#stayhome#2021sucksallready#rupaulsdragraces… https://t.co/UjHseFcUaX 
PopoutJ_, Fri Jan 22 23:53:38 +0000 2021, -95.446486, 29.838495, if you wake up everyday and it’s some negative shit going on, keep that wayyyy the hell away from me. 
jwashsquared, Fri Jan 22 23:53:38 +0000 2021, -95.446486, 29.838495, @jamaicncreolesd Lmao idk why I always think of Todd Chrissly when I see him 
TheKevinA, Fri Jan 22 23:53:38 +0000 2021, -86.791549, 36.200008, @djkeef 😂😂 https://t.co/aB47f2om8v 
memosoliss, Fri Jan 22 23:53:38 +0000 2021, -110.908463, 27.901518, #mandil #apron #skull #octopus #pashe #wikedcolors #kraneocustompaint #Guaymas https://t.co/C63Pq1cti0 
IsThatKyra, Fri Jan 22 23:53:38 +0000 2021, -87.732013, 41.833585, I be talking while I’m writing in my journal like Moesha lmao 
amandaeatsbooks, Fri Jan 22 23:53:38 +0000 2021, -111.897226, 40.654190, @haszombiesinit I’m excited! Thank you! 🖤 
ArmandoBarry6, Fri Jan 22 23:53:38 +0000 2021, -97.152604, 32.579297, 6:34 2Q | @ladywolfbball G Esther Daniels gets to the cup &amp; scores !LHS 15, THS 10@GameOnSportsPro https://t.co/yOPogRLdED 
Ink_not_fading, Fri Jan 22 23:53:38 +0000 2021, -71.103722, 42.395403, @Toucherandrich did you ever notice on the Celtics pregame perk looks like he’s broadcasting from a coffin? 
SharrDonald, Fri Jan 22 23:53:38 +0000 2021, -76.870495, 41.110550, @Ms_Erika74 https://t.co/4ajweMp8zv 
unlinkable_cuda, Fri Jan 22 23:53:38 +0000 2021, -80.846785, 35.209059, @KushLollipops https://t.co/TcVSvTUAu6 
GlennMDickson, Fri Jan 22 23:53:39 +0000 2021, -111.931711, 34.168253, @p2mac @LeaderMcConnell You mean rules should change like, I don't know, making Senator's actually filibuster? 
cooliestillcool, Fri Jan 22 23:53:39 +0000 2021, -118.411907, 34.020789, @Prada_1015 😂😂🔥 sumn go happen mark my words 
OrleansHumidity, Fri Jan 22 23:53:39 +0000 2021, -90.011008, 29.982601, @carl_arredondo @MargaretOrr https://t.co/aNN5EonRLO 
rmartineau959, Fri Jan 22 23:53:39 +0000 2021, -111.947395, 40.656940, @FPiednoel @ProjectLincoln It was going on long before then. 
CreatedToBHated, Fri Jan 22 23:53:39 +0000 2021, -75.117998, 40.004866, All I want to know is why they painted that fake Vitiligo on TI's face for this movie. It's painted on poorly af 😫 
justisjeff69, Fri Jan 22 23:53:39 +0000 2021, -90.597442, 41.537943, @LindseyGrahamSC I won't hold my breath 
dancecheldance, Fri Jan 22 23:53:39 +0000 2021, -122.330602, 47.614817, @abandonedjessi ITS OK I NEED TO GET MY DRIVERS LICENSE SO BAD 
CelebrationBeer, Fri Jan 22 23:53:39 +0000 2021, -73.875900, 41.014200, Drinking a Chocolate Pot De Crème (All Canned Dates) by @HubbardsCave @ Climbing Wolf Coffee &amp; Beer — https://t.co/oKI66dHNZi 
rnefftax, Fri Jan 22 23:53:39 +0000 2021, -98.123250, 29.705614, “Do as I say not as I do” Gavin Newsom  thinks California voters are too stupid to understand the data.  He’s proba… https://t.co/FpgVlg2SXz 
charlierequerme, Fri Jan 22 23:53:39 +0000 2021, -73.948775, 40.655138, https://t.co/ZeNFKEB1U6 
popsoapshop, Fri Jan 22 23:53:39 +0000 2021, -95.386350, 29.770730, Just posted a video @ Urban South HTX https://t.co/n6Dj3bmde7 
Shylabby__, Fri Jan 22 23:53:39 +0000 2021, -157.937057, 21.404041, @BigReezy_ Thank you 😊 
Kalijensina, Fri Jan 22 23:53:40 +0000 2021, -123.120400, 49.281900, Just posted a photo @ Vancouver, British Columbia https://t.co/PCnJQ9Xky8 
britshaniece, Fri Jan 22 23:53:40 +0000 2021, -73.968542, 40.780709, Excuse me??? The second girl was much better. Wtf. 
baleigh_menuey, Fri Jan 22 23:53:40 +0000 2021, -93.611531, 41.732949, https://t.co/4BSBQl8emcDiscounts going on right now! https://t.co/7KhZOt6ZwF 
roylopez808, Fri Jan 22 23:53:40 +0000 2021, -113.673181, 42.618329, Taco Bell 🤮 
BWLawal, Fri Jan 22 23:53:40 +0000 2021, -95.722085, 29.634805, @busanga He is where? No na he received the new commish of police today na. But that vacuum is why Sunday could do what he did. 
ablackshamrock, Fri Jan 22 23:53:40 +0000 2021, -117.887439, 33.739992, I can relate to this, yet it all balances out. 
